Timestamp,Open,High,Low,Close,Volume,value,value_classification,daily_std,MA7,MA30,market_regime,regime_change
2018-02-01,9974.91,10187.56,8820.96,8970.0,20517.08528426,30.0,Fear,683.3000000000002,10602.648571428572,12637.54,1,True
2018-02-02,8970.0,9234.1,7625.25,8580.0,47828.9822222,15.0,Extreme Fear,804.4250000000002,10250.204285714284,12429.063333333332,1,False
2018-02-03,8551.19,9443.96,8170.71,9386.72,17968.92903954,40.0,Fear,636.6249999999995,9956.165714285715,12249.274000000001,1,False
2018-02-04,9391.3,9491.2,8189.32,8301.65,14407.72075143,24.0,Extreme Fear,650.9400000000005,9484.974285714285,11980.415,1,False
2018-02-05,8301.65,8416.03,6865.66,6877.61,37314.24206479,11.0,Extreme Fear,775.1850000000004,8862.992857142857,11650.574333333334,1,False
2018-02-06,6877.61,7486.98,5920.72,7162.31,70503.74449341,8.0,Extreme Fear,783.1299999999997,8464.687142857143,11352.882000000001,1,False
2018-02-07,7170.0,8649.0,7160.38,8239.4,43855.53957859,36.0,Fear,744.31,8216.812857142857,11130.572333333334,1,False
2018-02-08,8239.4,8644.36,7543.27,8218.66,23954.17499488,30.0,Fear,550.5450000000001,8109.478571428571,10912.935000000001,1,False
2018-02-09,8218.11,8779.62,7753.32,8622.27,20171.2638389,44.0,Fear,513.1500000000005,8115.517142857142,10716.163999999999,1,False
2018-02-10,8622.27,9090.8,8254.0,8322.01,14961.56916425,54.0,Neutral,418.39999999999964,7963.415714285714,10536.803333333333,1,False
2018-02-11,8333.19,8589.1,7820.0,8325.22,12932.47914776,31.0,Fear,384.5500000000002,7966.782857142856,10363.644,1,False
2018-02-12,8342.6,8850.0,8026.0,8655.98,13678.48567758,42.0,Fear,412.0,8220.835714285715,10177.010666666667,1,False
2018-02-13,8676.09,8995.0,8360.13,8570.1,13296.53485743,35.0,Fear,317.4350000000004,8421.948571428571,10010.577,1,False
2018-02-14,8570.24,9380.0,8461.38,9291.01,16132.65630397,55.0,Greed,459.3100000000004,8572.17857142857,9855.538,1,False
2018-02-15,9309.01,10234.0,9188.1,10071.02,20335.6388548,71.0,Greed,522.9499999999998,8836.801428571429,9806.087666666666,1,False
2018-02-16,10087.0,10300.0,9707.51,9959.0,13826.94542588,67.0,Greed,296.2449999999999,9027.762857142856,9812.042333333335,1,False
2018-02-17,9960.8,10870.35,9920.63,10796.14,12768.53903966,74.0,Greed,474.8600000000006,9381.210000000001,9778.968666666666,1,False
2018-02-18,10791.15,11300.0,10153.15,10790.0,19048.32476094,63.0,Greed,573.4250000000002,9733.32142857143,9762.968333333334,1,False
2018-02-19,10791.38,11262.48,10307.51,11102.81,10835.30337153,67.0,Greed,477.4849999999997,10082.868571428571,9700.795000000002,1,False
2018-02-20,11098.31,11722.58,10992.86,11671.91,13403.64021967,74.0,Greed,364.8599999999997,10525.984285714285,9706.027999999998,1,False
2018-02-21,11670.0,11780.0,10358.0,10541.33,21863.80463025,54.0,Neutral,711.0,10704.60142857143,9707.779666666667,1,False
2018-02-22,10547.88,10935.0,9731.2,9890.02,20666.52749698,44.0,Fear,601.8999999999996,10678.744285714285,9662.947666666669,1,False
2018-02-23,9890.02,10405.3,9600.0,10209.77,16877.98215444,39.0,Fear,402.64999999999964,10714.56857142857,9635.015333333333,1,False
2018-02-24,10209.77,10540.63,9533.0,9570.0,13420.57907918,31.0,Fear,503.8149999999996,10539.405714285715,9579.116,1,False
2018-02-25,9570.01,9883.41,9260.0,9455.6,11827.61133621,33.0,Fear,311.7049999999999,10348.777142857143,9526.065666666667,1,False
