Date,mempool_transaction_count,MempoolSizeBytes,avg_fee_usd
2018-02-01,9.784451779406718,17.768705778678225,4.351634329341268
2018-02-02,9.76433278907179,17.773002689650085,4.305297086760088
2018-02-03,9.743800699607247,17.777281216146335,4.3931916049882
2018-02-04,9.394607950707252,17.40567591860691,4.57890107798417
2018-02-05,8.853456328796776,16.807728864762456,4.889506001903838
2018-02-06,8.853250163255536,17.00711767361148,4.886035524688924
2018-02-07,8.8530439552013,17.173283334725703,4.980050768170319
2018-02-08,8.856373315937118,17.17798783861357,4.841141512878215
2018-02-09,8.8596916288022,17.18267031373857,4.732242513129338
2018-02-10,8.86299896687477,17.187330965438232,4.51204866856068
2018-02-11,8.72526667419121,17.153360289490795,4.42834105436982
2018-02-12,8.565487200775193,17.118194902657105,4.635580262745079
2018-02-13,8.596269085722465,17.073509927903714,4.603254531635614
2018-02-14,8.626131673511223,17.026734426982443,4.662516548877309
2018-02-15,8.301942885482811,16.581379994398137,5.0756075469692705
2018-02-16,7.819205146087693,15.758025302575142,5.494403886853283
2018-02-17,8.270443774028275,16.941488654309435,5.068182213691763
2018-02-18,8.580250146827122,17.468453518062173,4.6988260719257315
2018-02-19,8.476453658773686,17.132452965474013,4.768522129852234
2018-02-20,8.360622223943219,16.622727073332594,5.041529781350007
2018-02-21,8.30648673475432,16.31919354677672,5.090587902747223
2018-02-22,8.249252015960298,15.88125120691819,5.172299602683698
2018-02-23,8.188541544110315,15.083819465970093,5.345922415977785
2018-02-24,8.679145502082545,17.213704973514922,4.708183868024544
2018-02-25,9.006824545000123,17.845587786718546,4.2786473720093925
2018-02-26,9.18693259768996,17.949209991674426,4.082257730012288
2018-02-27,9.339499198016316,18.043095666265668,3.8542136162113723
2018-02-28,9.32840392383977,17.81043701106184,3.7877632130464733
2018-03-01,9.317184162038435,17.506692430441184,3.772411997016193
2018-03-02,9.030098526083538,17.381536313086514,3.9857380470148374
2018-03-03,8.62582522481936,17.23844465669357,4.357337677748548
2018-03-04,8.764207879790787,17.218033820847598,4.188597336018468
2018-03-05,8.885747915504304,17.197197687022104,4.073398016279956
2018-03-06,8.740765262014055,17.090868097720886,4.111280414654147
2018-03-07,8.571139352727473,16.971872397900732,4.1583889975365524
2018-03-08,8.366742083337483,16.836779701698088,4.360765769335483
2018-03-09,8.410245189516784,16.72575273656484,4.299177193486584
2018-03-10,8.451934410954182,16.600841185600558,4.3150890439487934
2018-03-11,8.120441572855611,16.210365856290956,4.732095798073487
2018-03-12,7.621139020453229,15.560885235631842,5.136235313692746
2018-03-13,7.7478767811547335,15.255202237977176,5.003586099776468
2018-03-14,7.86034378651499,14.812733007994249,4.783935595146827
2018-03-15,7.671960211583962,14.457270968002561,4.943069093371445
2018-03-16,7.439654168519651,13.900681019285756,5.1745058241552835
2018-03-17,7.288005850126652,13.915141043780903,5.196247129478015
2018-03-18,7.10917711272383,13.929394952861395,5.283307907658301
2018-03-19,7.481242663872838,14.06084711128375,4.981036304609022
2018-03-20,7.751797100174731,14.17700997058965,4.736147300053802
2018-03-21,7.9645214667360795,14.281072452529866,4.478635799793851
