Timestamp,Close,Volume,value,daily_std,MA7,MA30,market_regime
2018-02-01,8970.0,20517.08528426,30.0,683.3000000000002,10602.648571428572,12637.54,1
2018-02-02,8580.0,47828.9822222,15.0,804.4250000000002,10250.204285714284,12429.063333333332,1
2018-02-03,9386.72,17968.92903954,40.0,636.6249999999995,9956.165714285715,12249.274000000001,1
2018-02-04,8301.65,14407.72075143,24.0,650.9400000000005,9484.974285714285,11980.415,1
2018-02-05,6877.61,37314.24206479,11.0,775.1850000000004,8862.992857142857,11650.574333333334,1
2018-02-06,7162.31,70503.74449341,8.0,783.1299999999997,8464.687142857143,11352.882000000001,1
2018-02-07,8239.4,43855.53957859,36.0,744.31,8216.812857142857,11130.572333333334,1
2018-02-08,8218.66,23954.17499488,30.0,550.5450000000001,8109.478571428571,10912.935000000001,1
2018-02-09,8622.27,20171.2638389,44.0,513.1500000000005,8115.517142857142,10716.163999999999,1
2018-02-10,8322.01,14961.56916425,54.0,418.39999999999964,7963.415714285714,10536.803333333333,1
2018-02-11,8325.22,12932.47914776,31.0,384.5500000000002,7966.782857142856,10363.644,1
2018-02-12,8655.98,13678.48567758,42.0,412.0,8220.835714285715,10177.010666666667,1
2018-02-13,8570.1,13296.53485743,35.0,317.4350000000004,8421.948571428571,10010.577,1
2018-02-14,9291.01,16132.65630397,55.0,459.3100000000004,8572.17857142857,9855.538,1
2018-02-15,10071.02,20335.6388548,71.0,522.9499999999998,8836.801428571429,9806.087666666666,1
2018-02-16,9959.0,13826.94542588,67.0,296.2449999999999,9027.762857142856,9812.042333333335,1
2018-02-17,10796.14,12768.53903966,74.0,474.8600000000006,9381.210000000001,9778.968666666666,1
2018-02-18,10790.0,19048.32476094,63.0,573.4250000000002,9733.32142857143,9762.968333333334,1
2018-02-19,11102.81,10835.30337153,67.0,477.4849999999997,10082.868571428571,9700.795000000002,1
2018-02-20,11671.91,13403.64021967,74.0,364.8599999999997,10525.984285714285,9706.027999999998,1
2018-02-21,10541.33,21863.80463025,54.0,711.0,10704.60142857143,9707.779666666667,1
2018-02-22,9890.02,20666.52749698,44.0,601.8999999999996,10678.744285714285,9662.947666666669,1
2018-02-23,10209.77,16877.98215444,39.0,402.64999999999964,10714.56857142857,9635.015333333333,1
2018-02-24,9570.0,13420.57907918,31.0,503.8149999999996,10539.405714285715,9579.116,1
2018-02-25,9455.6,11827.61133621,33.0,311.7049999999999,10348.777142857143,9526.065666666667,1
2018-02-26,10267.98,14349.77524723,37.0,511.8299999999999,10229.515714285715,9486.832,1
2018-02-27,10623.6,12281.63384959,44.0,350.0,10079.757142857143,9454.285666666667,1
2018-02-28,10483.3,10170.08494253,41.0,349.9849999999997,10071.467142857142,9429.346333333333,1
2018-03-01,10934.0,9145.85501576,38.0,359.7449999999999,10220.607142857143,9462.131333333331,1
2018-03-02,10933.67,9609.09324747,47.0,200.4949999999999,10324.021428571428,9494.103000000001,1
2018-03-03,11458.99,7686.3952132,56.0,327.21000000000004,10593.877142857144,9577.069333333335,1
2018-03-04,11350.0,5468.46196068,44.0,222.54500000000007,10864.505714285713,9669.402666666667,1
2018-03-05,11667.43,10632.83935679,55.0,220.1899999999996,11064.427142857143,9745.426333333333,1
2018-03-06,10712.43,12855.71609488,59.0,487.5500000000002,11077.117142857142,9825.785666666667,1
2018-03-07,9689.79,24526.90640041,37.0,730.8900000000003,10963.75857142857,9919.525,1
2018-03-08,9350.0,24700.9640956,39.0,535.5249999999996,10737.472857142857,9992.448,1
2018-03-09,8888.09,28461.15570557,37.0,550.0,10445.247142857144,10014.071,1
2018-03-10,9122.67,13027.33266848,39.0,430.52999999999975,10111.487142857144,10044.204666666665,1
2018-03-11,9637.78,17164.29732602,40.0,650.0,9866.884285714286,10078.055,1
2018-03-12,8929.97,17320.73741441,41.0,517.5,9475.818571428574,10098.320333333333,1
2018-03-13,9049.87,18629.3041782,41.0,370.3600000000006,9238.31,10122.475333333334,1
2018-03-14,8291.19,18320.21413642,40.0,577.5,9038.51,10110.315666666665,1
2018-03-15,8215.01,21249.71224414,32.0,371.5,8876.368571428571,10098.479333333333,1
