x,mempool_tx_count,date
1485096300000,2658.9427083333335,2017-01-22 14:45:00
1485279900000,49108.234375,2017-01-24 17:45:00
1485463500000,12504.494791666666,2017-01-26 20:45:00
1485647100000,8183.286458333333,2017-01-28 23:45:00
1485830700000,18096.630208333332,2017-01-31 02:45:00
1486014300000,12093.244791666666,2017-02-02 05:45:00
1486197900000,46524.796875,2017-02-04 08:45:00
1486381500000,9633.708333333334,2017-02-06 11:45:00
1486565100000,47103.614583333336,2017-02-08 14:45:00
1486748700000,17308.010416666668,2017-02-10 17:45:00
1486932300000,6601.609375,2017-02-12 20:45:00
1487115900000,9113.114583333334,2017-02-14 23:45:00
1487299500000,22443.026041666668,2017-02-17 02:45:00
1487483100000,11161.932291666666,2017-02-19 05:45:00
1487666700000,30499.041666666668,2017-02-21 08:45:00
1487850300000,91713.27083333333,2017-02-23 11:45:00
1488033900000,48509.166666666664,2017-02-25 14:45:00
1488217500000,9795.197916666666,2017-02-27 17:45:00
1488401100000,47865.963541666664,2017-03-01 20:45:00
1488584700000,76860.765625,2017-03-03 23:45:00
1488768300000,38969.1875,2017-03-06 02:45:00
1488951900000,57930.244791666664,2017-03-08 05:45:00
1489135500000,37517.067708333336,2017-03-10 08:45:00
1489319100000,15998.609375,2017-03-12 11:45:00
1489502700000,27409.760416666668,2017-03-14 14:45:00
1489686300000,22067.375,2017-03-16 17:45:00
1489869900000,14720.536458333334,2017-03-18 20:45:00
1490053500000,9710.494791666666,2017-03-20 23:45:00
1490237100000,7980.880208333333,2017-03-23 02:45:00
1490420700000,3605.1145833333335,2017-03-25 05:45:00
1490604300000,2772.875,2017-03-27 08:45:00
1490787900000,14484.927083333334,2017-03-29 11:45:00
1490971500000,8730.052083333334,2017-03-31 14:45:00
1491155100000,4256.989583333333,2017-04-02 17:45:00
1491338700000,17488.322916666668,2017-04-04 20:45:00
1491522300000,12969.03125,2017-04-06 23:45:00
1491705900000,6223.833333333333,2017-04-09 02:45:00
1491889500000,10914.140625,2017-04-11 05:45:00
1492073100000,20236.875,2017-04-13 08:45:00
1492256700000,34159.09375,2017-04-15 11:45:00
1492440300000,3296.4583333333335,2017-04-17 14:45:00
1492623900000,20017.854166666668,2017-04-19 17:45:00
1492807500000,21694.401041666668,2017-04-21 20:45:00
1492991100000,5926.244791666667,2017-04-23 23:45:00
1493174700000,49969.307291666664,2017-04-26 02:45:00
1493358300000,44162.666666666664,2017-04-28 05:45:00
1493541900000,16676.479166666668,2017-04-30 08:45:00
1493725500000,20338.098958333332,2017-05-02 11:45:00
1493909100000,59243.572916666664,2017-05-04 14:45:00
1494092700000,100503.30208333333,2017-05-06 17:45:00
1494276300000,36399.125,2017-05-08 20:45:00
1494459900000,99648.64583333333,2017-05-10 23:45:00
1494643500000,152684.3125,2017-05-13 02:45:00
1494827100000,86615.3125,2017-05-15 05:45:00
1495010700000,149578.90104166666,2017-05-17 08:45:00
1495194300000,169504.94791666666,2017-05-19 11:45:00
1495377900000,150510.390625,2017-05-21 14:45:00
1495561500000,142019.04166666666,2017-05-23 17:45:00
1495745100000,148150.99479166666,2017-05-25 20:45:00
1495928700000,140686.1875,2017-05-27 23:45:00
1496112300000,79768.78125,2017-05-30 02:45:00
1496295900000,80768.57291666667,2017-06-01 05:45:00
1496479500000,82095.55208333333,2017-06-03 08:45:00
1496663100000,45591.807291666664,2017-06-05 11:45:00
1496846700000,65417.4375,2017-06-07 14:45:00
1497030300000,36174.859375,2017-06-09 17:45:00
1497213900000,26607.484375,2017-06-11 20:45:00
1497397500000,50039.234375,2017-06-13 23:45:00
1497581100000,39699.625,2017-06-16 02:45:00
1497764700000,20159.703125,2017-06-18 05:45:00
1497948300000,11554.255208333334,2017-06-20 08:45:00
1498131900000,23831.114583333332,2017-06-22 11:45:00
1498315500000,8834.119791666666,2017-06-24 14:45:00
1498499100000,11426.067708333334,2017-06-26 17:45:00
1498682700000,12862.630208333334,2017-06-28 20:45:00
1498866300000,16419.8125,2017-06-30 23:45:00
1499049900000,2837.953125,2017-07-03 02:45:00
1499233500000,5391.744791666667,2017-07-05 05:45:00
1499417100000,8980.588541666666,2017-07-07 08:45:00
1499600700000,2452.0260416666665,2017-07-09 11:45:00
1499784300000,6774.583333333333,2017-07-11 14:45:00
1499967900000,9589.994791666666,2017-07-13 17:45:00
1500151500000,13197.677083333334,2017-07-15 20:45:00
1500335100000,9817.109375,2017-07-17 23:45:00
1500518700000,9991.036458333334,2017-07-20 02:45:00
1500702300000,14028.291666666666,2017-07-22 05:45:00
1500885900000,3884.03125,2017-07-24 08:45:00
1501069500000,8701.546875,2017-07-26 11:45:00
1501253100000,3870.9739583333335,2017-07-28 14:45:00
1501436700000,2370.6458333333335,2017-07-30 17:45:00
1501620300000,2368.546875,2017-08-01 20:45:00
1501803900000,6566.838541666667,2017-08-03 23:45:00
1501987500000,2743.6041666666665,2017-08-06 02:45:00
1502171100000,10410.458333333334,2017-08-08 05:45:00
1502354700000,19667.09375,2017-08-10 08:45:00
1502538300000,22591.276041666668,2017-08-12 11:45:00
1502721900000,14872.229166666666,2017-08-14 14:45:00
1502905500000,46255.932291666664,2017-08-16 17:45:00
1503089100000,26851.463541666668,2017-08-18 20:45:00
1503272700000,13335.666666666666,2017-08-20 23:45:00
1503456300000,71679.53125,2017-08-23 02:45:00
1503639900000,58429.166666666664,2017-08-25 05:45:00
1503823500000,63837.015625,2017-08-27 08:45:00
1504007100000,22867.40625,2017-08-29 11:45:00
1504190700000,10075.494791666666,2017-08-31 14:45:00
1504374300000,6135.942708333333,2017-09-02 17:45:00
1504557900000,4685.380208333333,2017-09-04 20:45:00
1504741500000,5569.265625,2017-09-06 23:45:00
1504925100000,4729.65625,2017-09-09 02:45:00
1505108700000,5419.411458333333,2017-09-11 05:45:00
1505292300000,3270.4947916666665,2017-09-13 08:45:00
1505475900000,12307.609375,2017-09-15 11:45:00
1505659500000,2583.8697916666665,2017-09-17 14:45:00
1505843100000,17342.1875,2017-09-19 17:45:00
1506026700000,3739.4947916666665,2017-09-21 20:45:00
1506210300000,3029.4427083333335,2017-09-23 23:45:00
1506393900000,12372.447916666666,2017-09-26 02:45:00
1506577500000,8072.286458333333,2017-09-28 05:45:00
1506761100000,2657.953125,2017-09-30 08:45:00
1506944700000,13871.583333333334,2017-10-02 11:45:00
1507128300000,6558.177083333333,2017-10-04 14:45:00
1507311900000,12718.59375,2017-10-06 17:45:00
1507495500000,4720.380208333333,2017-10-08 20:45:00
1507679100000,11942.416666666666,2017-10-10 23:45:00
1507862700000,19494.510416666668,2017-10-13 02:45:00
1508046300000,21272.161458333332,2017-10-15 05:45:00
1508229900000,9206.453125,2017-10-17 08:45:00
1508413500000,22188.020833333332,2017-10-19 11:45:00
1508597100000,24731.786458333332,2017-10-21 14:45:00
1508780700000,22299.572916666668,2017-10-23 17:45:00
1508964300000,10656.041666666666,2017-10-25 20:45:00
1509147900000,52963.359375,2017-10-27 23:45:00
1509331500000,29155.25,2017-10-30 02:45:00
1509515100000,33565.265625,2017-11-01 05:45:00
1509698700000,30089.546875,2017-11-03 08:45:00
1509882300000,29215.411458333332,2017-11-05 11:45:00
1510065900000,37304.567708333336,2017-11-07 14:45:00
1510249500000,39608.703125,2017-11-09 17:45:00
1510433100000,102695.27083333333,2017-11-11 20:45:00
1510616700000,116913.09375,2017-11-13 23:45:00
1510800300000,78599.109375,2017-11-16 02:45:00
1510983900000,45964.729166666664,2017-11-18 05:45:00
1511167500000,22709.927083333332,2017-11-20 08:45:00
1511351100000,26558.921875,2017-11-22 11:45:00
1511534700000,26325.052083333332,2017-11-24 14:45:00
1511718300000,22593.057291666668,2017-11-26 17:45:00
1511901900000,50973.859375,2017-11-28 20:45:00
1512085500000,72571.65625,2017-11-30 23:45:00
1512269100000,41786.171875,2017-12-03 02:45:00
1512452700000,40805.348958333336,2017-12-05 05:45:00
