date,mempool_transaction_count
2016-06-15,17325.729166666668
2016-06-16,13925.3671875
2016-06-17,10525.005208333334
2016-06-18,6564.291666666667
2016-06-19,2603.578125
2016-06-20,3236.78125
2016-06-21,3869.984375
2016-06-22,4503.1875
2016-06-23,5105.6328125
2016-06-24,5708.078125
2016-06-25,4078.40625
2016-06-26,2448.734375
2016-06-27,2702.0078125
2016-06-28,2955.28125
2016-06-29,3415.924479166667
2016-06-30,3876.5677083333335
2016-07-01,3200.40625
2016-07-02,2524.2447916666665
2016-07-03,2692.017361111111
2016-07-04,2859.7899305555557
2016-07-05,3027.5625
2016-07-06,3099.260416666667
2016-07-07,3170.9583333333335
2016-07-08,3457.5703125
2016-07-09,3744.1822916666665
2016-07-10,3304.1197916666665
2016-07-11,2864.0572916666665
2016-07-12,4042.2578125
2016-07-13,5220.458333333333
2016-07-14,4773.684895833333
2016-07-15,4326.911458333333
2016-07-16,3853.8819444444443
2016-07-17,3380.852430555555
2016-07-18,2907.8229166666665
2016-07-19,3979.3984375
2016-07-20,5050.973958333333
2016-07-21,4568.8125
2016-07-22,4086.6510416666665
2016-07-23,3814.356770833333
2016-07-24,3542.0625
2016-07-25,4833.317708333334
2016-07-26,6124.572916666667
2016-07-27,5857.729166666667
2016-07-28,5590.885416666667
2016-07-29,6023.208333333334
2016-07-30,6455.53125
2016-07-31,6887.854166666667
2016-08-01,5492.1796875
2016-08-02,4096.505208333333
2016-08-03,3928.513020833333
2016-08-04,3760.5208333333335
2016-08-05,3289.890625
2016-08-06,2819.2604166666665
2016-08-07,4183.338541666667
2016-08-08,5547.416666666667
2016-08-09,5022.239583333334
2016-08-10,4497.0625
2016-08-11,4400.751736111111
2016-08-12,4304.440972222222
2016-08-13,4208.130208333333
2016-08-14,3446.046875
2016-08-15,2683.9635416666665
2016-08-16,4206.4453125
2016-08-17,5728.927083333333
2016-08-18,5135.924479166666
2016-08-19,4542.921875
2016-08-20,3255.140625
2016-08-21,1967.359375
2016-08-22,3017.606770833333
2016-08-23,4067.8541666666665
2016-08-24,4659.157986111111
2016-08-25,5250.461805555556
2016-08-26,5841.765625
2016-08-27,4705.458333333333
2016-08-28,3569.1510416666665
2016-08-29,3898.041666666667
2016-08-30,4226.932291666667
2016-08-31,4005.703125
2016-09-01,3784.4739583333335
2016-09-02,3962.294270833333
2016-09-03,4140.114583333333
2016-09-04,4626.53125
2016-09-05,5112.947916666667
2016-09-06,4611.434027777778
2016-09-07,4109.920138888889
2016-09-08,3608.40625
2016-09-09,3903.8046875
2016-09-10,4199.203125
2016-09-11,3426.669270833333
2016-09-12,2654.1354166666665
2016-09-13,3223.778645833333
2016-09-14,3793.421875
2016-09-15,4310.0
2016-09-16,4826.578125
2016-09-17,4015.609375
2016-09-18,3204.640625
2016-09-19,3482.1076388888887
2016-09-20,3759.574652777778
2016-09-21,4037.0416666666665
2016-09-22,4055.536458333333
2016-09-23,4074.03125
2016-09-24,3282.630208333333
2016-09-25,2491.2291666666665
2016-09-26,3005.640625
2016-09-27,3520.0520833333335
2016-09-28,3798.111979166667
2016-09-29,4076.171875
2016-09-30,3624.34375
2016-10-01,3172.515625
2016-10-02,3802.4270833333335
2016-10-03,4432.338541666667
2016-10-04,5062.25
2016-10-05,5478.53125
2016-10-06,5894.8125
2016-10-07,5079.088541666666
2016-10-08,4263.364583333333
2016-10-09,4134.846354166666
2016-10-10,4006.328125
2016-10-11,5404.919270833334
2016-10-12,6803.510416666667
2016-10-13,6278.080729166667
2016-10-14,5752.651041666667
2016-10-15,5011.229166666667
2016-10-16,4269.807291666667
2016-10-17,3528.3854166666665
2016-10-18,4808.393229166667
2016-10-19,6088.401041666667
2016-10-20,6578.9296875
2016-10-21,7069.458333333333
2016-10-22,5325.393229166666
2016-10-23,3581.328125
2016-10-24,7840.424479166667
2016-10-25,12099.520833333334
2016-10-26,21345.096354166664
2016-10-27,30590.671875
2016-10-28,21803.5
2016-10-29,13016.328125
2016-10-30,4229.15625
2016-10-31,4672.114583333334
2016-11-01,5115.072916666667
2016-11-02,4648.736979166667
2016-11-03,4182.401041666667
2016-11-04,5967.229166666667
2016-11-05,7752.057291666667
2016-11-06,7444.065104166667
2016-11-07,7136.072916666667
2016-11-08,6530.731770833334
2016-11-09,5925.390625
2016-11-10,5160.621527777777
2016-11-11,4395.852430555556
2016-11-12,3631.0833333333335
2016-11-13,3993.7421875
2016-11-14,4356.401041666667
2016-11-15,4258.307291666667
2016-11-16,4160.213541666667
2016-11-17,5448.942708333334
2016-11-18,6737.671875
2016-11-19,6556.59375
2016-11-20,6375.515625
2016-11-21,20817.653645833332
2016-11-22,35259.791666666664
2016-11-23,38451.12673611111
2016-11-24,41642.461805555555
2016-11-25,44833.796875
2016-11-26,25775.270833333332
2016-11-27,6716.744791666667
2016-11-28,7545.940104166666
2016-11-29,8375.135416666666
2016-11-30,8443.59375
2016-12-01,8512.052083333334
2016-12-02,11782.903645833334
2016-12-03,15053.755208333334
2016-12-04,11944.9296875
2016-12-05,8836.104166666666
2016-12-06,7937.998263888889
2016-12-07,7039.89236111111
2016-12-08,6141.786458333333
2016-12-09,7228.078125
2016-12-10,8314.369791666666
2016-12-11,6103.848958333333
2016-12-12,3893.328125
2016-12-13,5517.9453125
2016-12-14,7142.5625
2016-12-15,9827.1796875
2016-12-16,12511.796875
2016-12-17,9633.286458333334
2016-12-18,6754.776041666667
2016-12-19,7408.20138888889
2016-12-20,8061.626736111111
2016-12-21,8715.052083333334
2016-12-22,7523.8125
2016-12-23,6332.572916666667
