Timestamp,index,Open,High,Low,Close,Volume,value,value_classification,daily_std,MA7,MA30,market_regime,mempool_transaction_count,MempoolSizeBytes,avg_fee_usd
2018-02-01,0,9974.91,10187.56,8820.96,8970.0,20517.08528426,30.0,Fear,683.3000000000002,10602.648571428572,12637.54,1,9.784451779406718,17.768705778678225,4.351634329341268
2018-02-02,1,8970.0,9234.1,7625.25,8580.0,47828.9822222,15.0,Extreme Fear,804.4250000000002,10250.204285714284,12429.063333333332,1,9.76433278907179,17.773002689650085,4.305297086760088
2018-02-03,2,8551.19,9443.96,8170.71,9386.72,17968.92903954,40.0,Fear,636.6249999999995,9956.165714285717,12249.274,1,9.743800699607249,17.777281216146335,4.3931916049882
2018-02-04,3,9391.3,9491.2,8189.32,8301.65,14407.72075143,24.0,Extreme Fear,650.9400000000005,9484.974285714285,11980.415,1,9.394607950707252,17.40567591860691,4.57890107798417
2018-02-05,4,8301.65,8416.03,6865.66,6877.61,37314.24206479,11.0,Extreme Fear,775.1850000000004,8862.992857142857,11650.574333333334,1,8.853456328796776,16.807728864762456,4.889506001903838
2018-02-06,5,6877.61,7486.98,5920.72,7162.31,70503.74449341,8.0,Extreme Fear,783.1299999999997,8464.687142857143,11352.882,1,8.853250163255536,17.00711767361148,4.886035524688924
2018-02-07,6,7170.0,8649.0,7160.38,8239.4,43855.53957859,36.0,Fear,744.31,8216.812857142857,11130.572333333334,1,8.8530439552013,17.173283334725703,4.980050768170319
2018-02-08,7,8239.4,8644.36,7543.27,8218.66,23954.17499488,30.0,Fear,550.5450000000001,8109.478571428571,10912.935,1,8.856373315937118,17.17798783861357,4.841141512878215
2018-02-09,8,8218.11,8779.62,7753.32,8622.27,20171.2638389,44.0,Fear,513.1500000000005,8115.517142857142,10716.164,1,8.8596916288022,17.18267031373857,4.732242513129338
2018-02-10,9,8622.27,9090.8,8254.0,8322.01,14961.56916425,54.0,Neutral,418.3999999999997,7963.415714285714,10536.803333333331,1,8.86299896687477,17.187330965438232,4.51204866856068
2018-02-11,10,8333.19,8589.1,7820.0,8325.22,12932.47914776,31.0,Fear,384.5500000000002,7966.782857142856,10363.644,1,8.72526667419121,17.153360289490795,4.42834105436982
2018-02-12,11,8342.6,8850.0,8026.0,8655.98,13678.48567758,42.0,Fear,412.0,8220.835714285715,10177.010666666669,1,8.565487200775193,17.118194902657105,4.635580262745079
2018-02-13,12,8676.09,8995.0,8360.13,8570.1,13296.53485743,35.0,Fear,317.4350000000004,8421.948571428571,10010.577,1,8.596269085722465,17.073509927903714,4.603254531635614
2018-02-14,13,8570.24,9380.0,8461.38,9291.01,16132.65630397,55.0,Greed,459.3100000000004,8572.17857142857,9855.538,1,8.626131673511223,17.026734426982443,4.662516548877309
2018-02-15,14,9309.01,10234.0,9188.1,10071.02,20335.6388548,71.0,Greed,522.9499999999998,8836.801428571429,9806.087666666666,1,8.301942885482811,16.581379994398137,5.075607546969271
2018-02-16,15,10087.0,10300.0,9707.51,9959.0,13826.94542588,67.0,Greed,296.2449999999999,9027.762857142856,9812.042333333337,1,7.819205146087693,15.758025302575142,5.494403886853283
2018-02-17,16,9960.8,10870.35,9920.63,10796.14,12768.53903966,74.0,Greed,474.8600000000006,9381.21,9778.968666666666,1,8.270443774028275,16.941488654309435,5.068182213691763
2018-02-18,17,10791.15,11300.0,10153.15,10790.0,19048.32476094,63.0,Greed,573.4250000000002,9733.32142857143,9762.968333333334,1,8.580250146827122,17.468453518062173,4.698826071925732
2018-02-19,18,10791.38,11262.48,10307.51,11102.81,10835.30337153,67.0,Greed,477.4849999999997,10082.868571428571,9700.795000000002,1,8.476453658773686,17.132452965474013,4.768522129852234
2018-02-20,19,11098.31,11722.58,10992.86,11671.91,13403.64021967,74.0,Greed,364.8599999999997,10525.984285714285,9706.027999999998,1,8.360622223943219,16.622727073332594,5.041529781350007
2018-02-21,20,11670.0,11780.0,10358.0,10541.33,21863.80463025,54.0,Neutral,711.0,10704.60142857143,9707.779666666667,1,8.30648673475432,16.31919354677672,5.090587902747223
2018-02-22,21,10547.88,10935.0,9731.2,9890.02,20666.52749698,44.0,Fear,601.8999999999996,10678.744285714283,9662.947666666669,1,8.249252015960298,15.88125120691819,5.172299602683698
2018-02-23,22,9890.02,10405.3,9600.0,10209.77,16877.98215444,39.0,Fear,402.6499999999997,10714.56857142857,9635.015333333333,1,8.188541544110315,15.083819465970093,5.345922415977785
2018-02-24,23,10209.77,10540.63,9533.0,9570.0,13420.57907918,31.0,Fear,503.8149999999996,10539.405714285716,9579.116,1,8.679145502082545,17.213704973514922,4.708183868024544
2018-02-25,24,9570.01,9883.41,9260.0,9455.6,11827.61133621,33.0,Fear,311.7049999999999,10348.777142857143,9526.065666666667,1,9.006824545000123,17.845587786718546,4.2786473720093925
2018-02-26,25,9454.67,10400.0,9376.34,10267.98,14349.77524723,37.0,Fear,511.8299999999999,10229.515714285715,9486.832,1,9.18693259768996,17.949209991674426,4.082257730012288
2018-02-27,26,10267.99,10850.0,10150.0,10623.6,12281.63384959,44.0,Fear,350.0,10079.757142857145,9454.285666666668,1,9.339499198016316,18.043095666265668,3.854213616211372
2018-02-28,27,10621.65,11064.75,10364.78,10483.3,10170.08494253,41.0,Fear,349.9849999999997,10071.467142857142,9429.346333333331,1,9.32840392383977,17.81043701106184,3.787763213046473
2018-03-01,28,10482.78,10942.9,10223.41,10934.0,9145.85501576,38.0,Fear,359.7449999999999,10220.607142857143,9462.131333333333,1,9.317184162038435,17.506692430441184,3.772411997016193
2018-03-02,29,10932.81,11175.0,10774.01,10933.67,9609.09324747,47.0,Neutral,200.4949999999999,10324.021428571428,9494.103,1,9.030098526083538,17.381536313086514,3.985738047014837
2018-03-03,30,10931.12,11503.24,10848.82,11458.99,7686.3952132,56.0,Greed,327.21000000000004,10593.877142857144,9577.069333333337,1,8.62582522481936,17.23844465669357,4.357337677748548
2018-03-04,31,11459.7,11500.0,11054.91,11350.0,5468.46196068,44.0,Fear,222.54500000000007,10864.505714285711,9669.402666666669,1,8.764207879790787,17.218033820847598,4.188597336018468
2018-03-05,32,11340.99,11688.0,11247.62,11667.43,10632.83935679,55.0,Greed,220.1899999999996,11064.427142857145,9745.426333333333,1,8.885747915504304,17.197197687022104,4.073398016279956
2018-03-06,33,11669.99,11682.1,10707.0,10712.43,12855.71609488,59.0,Greed,487.5500000000002,11077.117142857142,9825.785666666668,1,8.740765262014055,17.090868097720886,4.111280414654147
2018-03-07,34,10712.0,10911.78,9450.0,9689.79,24526.90640041,37.0,Fear,730.8900000000003,10963.75857142857,9919.525,1,8.571139352727473,16.971872397900732,4.158388997536552
2018-03-08,35,9682.73,10150.0,9078.95,9350.0,24700.9640956,39.0,Fear,535.5249999999996,10737.472857142857,9992.448,1,8.366742083337483,16.836779701698088,4.360765769335483
2018-03-09,36,9347.08,9466.0,8366.0,8888.09,28461.15570557,37.0,Fear,550.0,10445.247142857144,10014.071,1,8.410245189516784,16.72575273656484,4.299177193486584
2018-03-10,37,8888.11,9514.96,8653.9,9122.67,13027.33266848,39.0,Fear,430.52999999999975,10111.487142857144,10044.204666666665,1,8.451934410954182,16.600841185600558,4.3150890439487934
2018-03-11,38,9116.07,9750.0,8450.0,9637.78,17164.29732602,40.0,Fear,650.0,9866.884285714286,10078.055,1,8.120441572855611,16.210365856290956,4.732095798073487
2018-03-12,39,9653.95,9892.0,8857.0,8929.97,17320.73741441,41.0,Fear,517.5,9475.818571428574,10098.320333333331,1,7.621139020453229,15.560885235631842,5.136235313692746
2018-03-13,40,8929.96,9482.79,8742.07,9049.87,18629.3041782,41.0,Fear,370.3600000000006,9238.31,10122.475333333334,1,7.747876781154733,15.255202237977176,5.003586099776468
2018-03-14,41,9073.66,9356.14,8201.14,8291.19,18320.21413642,40.0,Fear,577.5,9038.51,10110.315666666664,1,7.86034378651499,14.812733007994249,4.783935595146827
2018-03-15,42,8297.1,8425.0,7682.0,8215.01,21249.71224414,32.0,Fear,371.5,8876.368571428571,10098.479333333333,1,7.671960211583962,14.45727096800256,4.943069093371445
2018-03-16,43,8224.74,8613.06,7914.08,8550.0,15664.51725431,33.0,Fear,349.4899999999998,8828.070000000002,10073.779,1,7.439654168519651,13.900681019285756,5.174505824155284
