Date,TotalFees_BTC,mempool_transaction_count,avg_fee_per_tx,MempoolSizeBytes
2022-03-15,10.382473685,2487.9192708333335,0.004173155377956605,1352300.5598958333
2022-03-16,10.45327713,3134.015625,0.003335425977654467,1822144.0052083333
2022-03-17,10.524080574999997,2808.395833333333,0.003747363690719049,1651958.0078125
2022-03-18,10.594884019999995,2482.7760416666665,0.004267353898295127,1481772.0104166667
2022-03-19,10.648025039999997,2166.9244791666665,0.004913888389915141,1174394.1901041667
2022-03-20,10.701166059999998,1851.0729166666667,0.0057810613313224865,867016.3697916666
2022-03-21,10.754307079999998,3937.697916666667,0.0027311153134630794,2450792.3776041665
2022-03-22,10.8074481,6024.322916666667,0.001793968923893591,4034568.3854166665
2022-03-23,10.151985625,5451.106770833334,0.0018623714507518302,3222884.239583333
2022-03-24,9.496523149999998,4877.890625,0.0019468503662892192,2411200.09375
2022-03-25,8.841060674999998,3891.668402777778,0.002271791879464721,1888416.0069444445
2022-03-26,8.185598199999998,2905.4461805555557,0.002817329143723741,1365631.920138889
2022-03-27,8.932377169999997,1919.2239583333333,0.004654160933754147,842847.8333333334
2022-03-28,9.679156139999996,2470.1510416666665,0.003918447081466424,1187575.5182291667
2022-03-29,10.425935109999998,3021.078125,0.0034510643811966955,1532303.203125
2022-03-30,11.172714079999997,4979.4921875,0.0022437456791370852,2631059.528645833
2022-03-31,10.988509552499998,6937.90625,0.0015838365576790546,3729815.8541666665
2022-04-01,10.804305025,6772.815104166666,0.001595245825971706,4611338.979166667
2022-04-02,10.620100497500001,6607.723958333333,0.001607225205602976,5492862.104166667
2022-04-03,10.435895970000002,4516.223958333333,0.002310756965615865,3391094.3723958335
2022-04-04,10.336842315000002,2424.7239583333335,0.004263100663262786,1289326.640625
2022-04-05,10.23778866,3213.5598958333335,0.0031858091934972815,1771846.4921875
2022-04-06,10.138735004999997,4002.3958333333335,0.0025331664900710505,2254366.34375
2022-04-07,10.039681349999997,4595.300347222223,0.002184771525558456,2512719.7760416665
2022-04-08,10.156581184999997,5188.204861111111,0.0019576291717256617,2771073.2083333335
2022-04-09,10.273481019999998,5781.109375,0.0017770777810271058,3029426.640625
2022-04-10,10.390380854999998,3834.4635416666665,0.002709735206005838,1956862.1067708333
2022-04-11,10.507280689999998,1887.8177083333333,0.005565834372470417,884297.5729166666
2022-04-12,10.096249234999998,2802.1354166666665,0.00360305543227821,1286408.53125
2022-04-13,9.685217779999999,3716.453125,0.0026060379222460927,1688519.4895833333
2022-04-14,9.274186324999999,3638.2890625,0.0025490515365008876,1813974.359375
2022-04-15,8.863154869999999,3560.125,0.002489562829956813,1939429.2291666667
2022-04-16,8.989808735,2561.9114583333335,0.003509023977295598,1348796.421875
2022-04-17,9.1164626,1563.6979166666667,0.005830066346467708,758163.6145833334
2022-04-18,9.243116465,3724.947916666667,0.0024814082429564168,2576273.0260416665
2022-04-19,9.369770330000001,5886.197916666667,0.0015918204692828388,4394382.4375
2022-04-20,9.07811749,5112.536458333334,0.0017756582400899749,3733274.5989583335
2022-04-21,8.78646465,4338.875,0.002025055953444153,3072166.760416667
2022-04-22,8.49481181,3565.2135416666665,0.0023826936902154937,2411058.921875
2022-04-23,8.203158969999999,2859.28125,0.002868958403444921,1679598.8203125
2022-04-24,8.943599055,2153.3489583333335,0.00415334403668704,948138.71875
2022-04-25,9.684039140000003,2805.127604166667,0.0034522633215029403,1517839.7135416665
2022-04-26,10.424479225000004,3456.90625,0.00301555161497365,2087540.7083333333
2022-04-27,11.164919310000005,3327.958333333333,0.003354885545942835,1864746.5520833333
2022-04-28,10.327480710000003,3199.0104166666665,0.0032283360679897766,1641952.3958333333
2022-04-29,9.490042110000003,4286.278645833333,0.002214051603767109,2724893.6875
2022-04-30,8.652603510000002,5373.546875,0.0016102220211859607,3807834.9791666665
2022-05-01,7.81516491,5234.513020833334,0.0014930070627192417,3577652.1328125
2022-05-02,11.4465613175,5095.479166666667,0.002246415095243741,3347469.2864583335
2022-05-03,15.077957725000001,10825.59375,0.0013928065354382989,8983655.913194446
2022-05-04,18.709354132500003,16555.708333333332,0.001130084787422264,14619842.539930558
2022-05-05,22.340750540000002,22285.822916666668,0.001002464689032966,20256029.166666668
2022-05-06,21.702463845000004,14134.822916666668,0.0015353898646590168,11745183.317708334
2022-05-07,21.064177150000006,5983.822916666667,0.003520187252087661,3234337.46875
2022-05-08,20.42589045500001,4643.041666666667,0.004399247717641994,2522834.6744791665
2022-05-09,19.787603760000014,3302.2604166666665,0.005992139099669738,1811331.8802083333
2022-05-10,22.725482442500013,4052.513020833333,0.005607750629219913,2238875.4192708335
2022-05-11,25.66336112500001,4802.765625,0.005343454819326106,2666418.9583333335
2022-05-12,28.601239807500008,31798.119791666668,0.0008994632385464355,49633368.23437501
2022-05-13,31.539118490000007,58793.473958333336,0.0005364391039786429,96600317.51041667
2022-05-14,28.382150400000004,43254.18402777778,0.000656171212980761,87370927.11631945
2022-05-15,25.22518231,27714.894097222223,0.0009101670106157195,78141536.72222222
